Region,City,Year,GDP_Millions_DH,GDP_Primaire,GDP_Secondaire,GDP_Tertiaire,temp
Souss-Massa,agadir,2012,,10591.0,10975.0,26833.0,
Souss-Massa,agadir,2013,,12976.0,11675.0,29264.0,19.282858422939068
Souss-Massa,agadir,2014,,11270.0,13126.0,30301.0,19.401262800819254
Souss-Massa,agadir,2015,64647.0,12036.0,13460.0,31522.0,19.595880696364567
Souss-Massa,agadir,2016,68105.0,13864.0,13060.0,33193.0,19.63149888765295
Souss-Massa,agadir,2017,69917.0,12860.0,13354.0,35455.0,20.787572324628776
Souss-Massa,agadir,2018,74597.0,13840.0,13668.0,38184.0,19.132465437788017
Souss-Massa,agadir,2019,77685.0,15360.0,11015.0,45502.0,20.027493599590375
Souss-Massa,agadir,2020,75429.0,12828.0,11215.0,40738.0,20.811639784946237
Souss-Massa,agadir,2021,79382.0,14583.0,14069.0,44141.0,
Souss-Massa,agadir,2022,87603.0,15271.0,13724.0,51938.0,21.56490975422427
Souss-Massa,agadir,2023,,18123.0,14066.0,56706.0,21.628803123399894
Béni Mellal-Khénifra,beni_mellal,2012,,10736.0,26535.0,21509.0,
Béni Mellal-Khénifra,beni_mellal,2013,,12370.0,22758.0,19920.0,
Béni Mellal-Khénifra,beni_mellal,2014,,9141.0,19233.0,20558.0,
Béni Mellal-Khénifra,beni_mellal,2015,57601.0,11383.0,19552.0,20887.0,
Béni Mellal-Khénifra,beni_mellal,2016,56875.0,10716.0,19486.0,21495.0,
Béni Mellal-Khénifra,beni_mellal,2017,61750.0,11539.0,21580.0,22217.0,
Béni Mellal-Khénifra,beni_mellal,2018,62987.0,11727.0,22009.0,22680.0,
Béni Mellal-Khénifra,beni_mellal,2019,68784.0,11596.0,19745.0,31171.0,
Béni Mellal-Khénifra,beni_mellal,2020,61756.0,11509.0,16417.0,28928.0,
Béni Mellal-Khénifra,beni_mellal,2021,74853.0,13769.0,19611.0,31967.0,
Béni Mellal-Khénifra,beni_mellal,2022,81814.0,11515.0,28222.0,34828.0,
Béni Mellal-Khénifra,beni_mellal,2023,,12618.0,23159.0,36284.0,
